"username","bot","created_at","followers_count","last_status_at"
"APoD",true,"2018-01-12T00:00:00.000Z",59367,"2022-12-12"
"selfcare",true,"2017-11-20T00:00:00.000Z",16940,"2022-12-12"
"RikerGoogling",true,"2022-11-08T00:00:00.000Z",12187,"2022-12-11"
"PleaseCaption",true,"2018-09-05T00:00:00.000Z",9063,"2022-01-10"
"gretathunberg",true,"2019-02-27T00:00:00.000Z",8504,"2022-12-09"
"picardtips",true,"2020-09-14T00:00:00.000Z",7342,"2022-12-10"
"catsnkittens",true,"2020-08-17T00:00:00.000Z",6276,"2022-12-12"
"randomColorContrasts",true,"2020-08-11T00:00:00.000Z",6097,"2022-12-12"
"hourlyfoxbot",true,"2019-01-05T00:00:00.000Z",5785,"2022-11-21"
"biodiversitypix",true,"2020-02-29T00:00:00.000Z",4625,"2022-12-12"
"sadserver",true,"2022-11-14T00:00:00.000Z",3660,"2022-12-07"
"nasa_bot",true,"2021-01-08T00:00:00.000Z",3453,"2022-11-30"
"bunposting",true,"2018-12-09T00:00:00.000Z",2977,"2022-12-12"
"duckduckgo",true,"2018-04-11T00:00:00.000Z",2584,"2022-11-21"
"oldroadside",true,"2020-07-20T00:00:00.000Z",2571,"2022-12-12"
"blendernation",true,"2018-03-29T00:00:00.000Z",2465,"2022-11-23"
"genderoftheday",true,"2018-09-03T00:00:00.000Z",2437,"2022-12-12"
"artbot",true,"2018-06-14T00:00:00.000Z",2434,"2022-12-12"
"pomological",true,"2017-04-05T00:00:00.000Z",2267,"2022-12-12"
"xkcdbot",true,"2019-08-19T00:00:00.000Z",2236,"2022-12-10"